OBJECTID	method	url	protocol	
13	GET	/c-lang/	HTTP/1.0	
33	GET	/c-lang/lib/codemirror/mode/clike/clike.js	HTTP/1.0	
53	GET	/c-lang/lib/codemirror/display/placeholder.js	HTTP/1.0	
73	GET	/c-lang/lib/FileSaver.js	HTTP/1.0	
93	GET	/c-lang/index.js	HTTP/1.0	
113	GET	/c-lang/lib/codemirror/codemirror.js	HTTP/1.0	
133	GET	/c-lang/lib/jquery.tmpl.min.js	HTTP/1.0	
153	GET	/c-lang/lib/bootstrap/js/bootstrap.min.js	HTTP/1.0	
173	GET	/c-lang/lib/jquery.min.js	HTTP/1.0	
193	GET	/c-lang/ua.js	HTTP/1.0	
213	GET	/c-lang/	HTTP/1.0	
233	GET	/c-lang/lib/codemirror/codemirror.css	HTTP/1.0	
253	GET	/c-lang/index.css	HTTP/1.0	
273	GET	/c-lang/lib/bootstrap/css/bootstrap.min.css	HTTP/1.0	
293	GET	/c-lang/lib/bootstrap/js/bootstrap.min.js	HTTP/1.0	
313	GET	/c-lang/lib/jquery.tmpl.min.js	HTTP/1.0	
333	GET	/c-lang/ua.js	HTTP/1.0	
353	GET	/c-lang/lib/jquery.min.js	HTTP/1.0	
373	GET	/c-lang/lib/codemirror/codemirror.js	HTTP/1.0	
393	GET	/c-lang/lib/FileSaver.js	HTTP/1.0	
413	GET	/c-lang/index.js	HTTP/1.0	
433	GET	/c-lang/lib/codemirror/display/placeholder.js	HTTP/1.0	
453	GET	/c-lang/lib/codemirror/mode/clike/clike.js	HTTP/1.0	
473	GET	/c-lang/lib/bootstrap/fonts/glyphicons-halflings-regular.woff	HTTP/1.0	
